"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath"
"duo_clustering_all_parameter_settings_v1","Hyperparameter values used for all clustering algorithms and data sets in v1 of Duo et al (F1000Research 2018)","3.7",NA,"rds",NA,NA,NA,NA,NA,"Robinson group (UZH)","Angelo Duo <angelo.duo@icloud.com>","list","Rds","DuoClustering2018/parameter_settings/all_parameter_settings_v1.rds"
"sce_full_Koh","Gene counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. All genes except those with zero counts across all cells are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_full/sce_full_Koh.rds"
"sce_filteredExpr10_Koh","Gene counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. The top 10% genes with the highest average expression across all cells are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredExpr10/sce_filteredExpr10_Koh.rds"
"sce_filteredHVG10_Koh","Gene counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. The top 10% most highly variable genes are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredHVG10/sce_filteredHVG10_Koh.rds"
"sce_filteredM3Drop10_Koh","Gene counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. The top 10% genes ranked by z-scores from the M3Drop package are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredM3Drop10/sce_filteredM3Drop10_Koh.rds"
"sce_full_KohTCC","TCC counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. All TCCs except those with zero counts across all cells are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_full/sce_full_KohTCC.rds"
"sce_filteredExpr10_KohTCC","TCC counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. The top 10% TCCs with the highest average expression across all cells are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredExpr10/sce_filteredExpr10_KohTCC.rds"
"sce_filteredHVG10_KohTCC","TCC counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. The top 10% most highly variable TCCs are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredHVG10/sce_filteredHVG10_KohTCC.rds"
"sce_filteredM3Drop10_KohTCC","TCC counts for scRNA-seq data set of in vitro cultured H7 embryonic stem cells (WiCell) and H7-derived downstream early mesoderm progenitors. The top 10% TCCs ranked by z-scores from the M3Drop package are retained.","3.7","GRCh38","FASTQ","https://www.ncbi.nlm.nih.gov/sra?term=SRP073808",NA,"Homo sapiens","9606",NA,"SRA (SRP073808), Koh et al. (2016)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredM3Drop10/sce_filteredM3Drop10_KohTCC.rds"
"sce_full_Kumar","Gene counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. All genes except those with zero counts across all cells are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_full/sce_full_Kumar.rds"
"sce_filteredExpr10_Kumar","Gene counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. The top 10% genes with the highest average expression across all cells are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredExpr10/sce_filteredExpr10_Kumar.rds"
"sce_filteredHVG10_Kumar","Gene counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. The top 10% most highly variable genes are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredHVG10/sce_filteredHVG10_Kumar.rds"
"sce_filteredM3Drop10_Kumar","Gene counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. The top 10% genes ranked by z-scores from the M3Drop package are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredM3Drop10/sce_filteredM3Drop10_Kumar.rds"
"sce_full_KumarTCC","TCC counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. All TCCs except those with zero counts across all cells are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_full/sce_full_KumarTCC.rds"
"sce_filteredExpr10_KumarTCC","TCC counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. The top 10% TCCs with the highest average expression across all cells are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredExpr10/sce_filteredExpr10_KumarTCC.rds"
"sce_filteredHVG10_KumarTCC","TCC counts for scRNA-seq data set of mESCs with various genetic perturbations, cultured in different media. The top 10% most highly variable TCCs are retained.","3.7","GRCm38","FASTQ","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60749",NA,"Mus musculus","10090",NA,"GEO (GSE60749), Kumar et al. (2014)","Angelo Duo <angelo.duo@icloud.com>","SingleCellExperiment","Rds","DuoClustering2018/data/sce_filteredHVG10/sce_filteredHVG10_KumarTCC.rds"
